活動名稱,活動類型,開始日期,結束日期,本週重點時間,地點,地址,費用,入場／報名方式,主辦／營運,活動內容,官網／主要來源,報名／購票渠道,其他來源,資料可信度,備註
2026大稻埕夏日節－8/5主題煙火秀,煙火／音樂／戶外節慶,2026-07-25,2026-08-15,2026-08-05 19:00–21:00（20:00施放約8分鐘主題煙火）,大稻埕碼頭、臺北延平河濱公園（淡3號至5號水門間）,臺北市大同區大稻埕碼頭／延平河濱公園,免費,自由入場；無需購票,臺北市政府觀光傳播局（活動官網）,8/5主題煙火秀；官方另列活動期間裝置、商圈串聯等內容。,https://taipeisummer.travel.taipei/,,https://majorevent.gov.taipei/news.aspx?PageSize=20&n=3D3E2948CDA72DD8&page=1&sms=E2A80B3BD6378AB0,高（官方）,截圖寫8/5 19:00–21:00；官方確認20:00煙火、活動總展期7/25–8/15。
劇場版《鏈鋸人 蕾潔篇》快閃店,動漫／快閃店,2026-08-06,2026-09-13,週日–週四 11:00–21:30；週五、週六 11:00–22:00,新光三越台北南西一館 9F 玻璃屋,臺北市中山區南京西路12號9樓,免費入場；商品另計,自由入場,快閃活動（公開資料未找到可驗證的主辦官方活動頁）,《鏈鋸人 蕾潔篇》主題快閃、場景與周邊商品。,https://www.shinygoods.tw/chainsaw-man-reze-arc-taipei-popup-2026,,,中（活動資訊網站；未找到官方活動頁）,日期、樓層、營業時間與截圖一致；建議正式資料庫標記為 secondary source。
《新世紀福音戰士》POP-UP STORE,動漫／快閃店,2026-07-31,2026-09-03,依新光三越台北信義新天地A8營業時間,新光三越台北信義新天地 A8 5F,臺北市信義區松高路12號（A8）,免費入場；商品另計,自由入場,曼迪傳播,角色立牌、機體模型、劇照商品、限定服飾、日本週年商品等；單筆滿800元有階段限定贈品（數量有限）。,https://reading.udn.com/read/story/124410/9668248,,https://www.moelong.com/moelongnews/archives/63567,高（新聞稿來源標示曼迪傳播）,截圖寫「即日至9/3」，查得完整展期為7/31–9/3。
2026臺灣文博會－品牌商展,文創／品牌商展／展會,2026-08-06,2026-08-12,8/6–8/7 10:00–18:00專業買家；8/8–8/9 10:00–20:00一般民眾；8/10–8/12 10:00–18:00一般民眾,台北南港展覽館1館 1F,臺北市南港區經貿二路1號,一般民眾免費；部分活動可能需另行報名,一般民眾依官方參觀規則入場；專業人士需事前登記,文化部；台灣設計研究院等執行,870+品牌、逾千攤位；IP授權、文創設計、品牌展售及系列活動。,https://creativexpo.tw/zh-TW,https://pro.creativexpo-register.com,https://www.tdri.org.tw/zh-TW/news/737,高（官方）,專業人士登記期間官方資料為7/13–7/31；一般民眾開放自8/8起。
史努比的藝術人生：快閃小巡迴（台北站）,藝術／IP／快閃展,2026-08-06,2026-09-28,11:00–17:00,松山文創園區 南向製菸工廠,臺北市信義區光復南路133號,免費,自由入場,活動合作資訊見松山文創園區官方頁,延續《花生漫畫75週年特展》，包含當代藝術創作、沉浸式展區、藝術家聯名系列。,https://www.songshanculturalpark.org/exhibition/activity/c64a0dee-b436-408d-b527-b141ab24a202,,https://sccp.tw/ss01SruEj,高（場館官方）,官方註明可拍照、可攜帶寵物。
2026臺灣文博會－文化策展「第零位元」,文化／策展／互動展覽,2026-08-01,2026-08-31,10:00–18:00,空總國家文化基地 古蹟大樓、戰情廣場,臺北市大安區仁愛路三段55號,免費,依文博會官方參觀資訊；部分時段／活動可能採預約,文化部；台灣設計研究院等,2026文化策展以「第零位元」探索AI時代的原創，規劃5大展區與互動體驗。,https://creativexpo.tw/zh-TW,,https://www.tdri.org.tw/zh-TW/news/737,高（官方）,截圖稱「臺灣文博會文化策展」，官方確認8/1–8/31。
nagano market TAIPEI 台北常設店開幕,角色IP／常設店／購物,2026-08-08,,12:00–20:00,nagano market TAIPEI,臺北市大同區南京西路51號,免費入店；商品另計,一般時段自由入場；特殊開幕／人潮管制以官方整理券公告為準,0% TAIPEI,Nagano角色商品台北常設店，8/8正式開幕。,https://linktr.ee/0percent.taipei,https://linktr.ee/0percent.taipei,https://www.instagram.com/p/DbK-cfsARzi/,高（營運方官方社群／Linktree）,官方入口含「申請整理券」連結；是否需整理券依當日公告。
FUN藝夏 戶外劇場,戶外表演／市集／親子,2026-08-01,2026-08-23,每週六、日 15:00–19:00；8/8–8/9有Recircus移動綠劇場＋FUN藝夏市集,新北市美術館 戶外園區,新北市鶯歌區館前路300號,免費,自由參加；部分DIY／體驗依現場規則,新北市政府文化局,魔術、馬戲、唱跳、舞蹈、擊樂、泡泡秀、永續市集、高空與雜耍體驗、親子互動及DIY。,https://www.culture.ntpc.gov.tw/xceventsnews/cont?sid=0Q208547781798465239&xsmsid=0G295700334178642420,,https://www.ntpc.gov.tw/ch/home.jsp?dataserno=892576ec3b24758f6ec1d9c2146f92a5&id=e8ca970cde5c00e1,高（政府官方）,活動整體為8/1–8/23四個週末；截圖聚焦8/8–8/9。
2026 藝起來 Dome 一夏,音樂／市集／戶外節慶,2026-08-08,2026-08-09,11:00–19:00,臺北大巨蛋 松菸大道與B2廣場,臺北市信義區忠孝東路四段515號周邊,免費,自由入場,臺北大巨蛋／合作活動,怕胖團、康士坦的變化球、甜約翰、上山 OVER THE TOP 等演出；另有市集、限定周邊、兒童環保玩具市集與主題活動。,https://www.songshanculturalpark.org/originalfestival/exhibition/5f53fe70-7495-4d49-884c-435cea4dd2e0/area/c9833a1a-54d0-4574-ba59-57732663cb88/work/3e157d00-4301-4879-82c3-56bcb36d78bb,,https://majorevent.gov.taipei/News.aspx?_CSN=DC8B1134D3826039&n=3D3E2948CDA72DD8&sms=E2A80B3BD6378AB0,高（場館／政府官方）,松菸官方頁另指向臺北大巨蛋官方活動頁。
CENTRAL MUSIC & ENTERTAINMENT FESTIVAL 2026 in TAIPEI,音樂祭／演唱會,2026-08-08,2026-08-08,16:30開場；18:00開演,Zepp New Taipei,新北市新莊區新北大道四段3號8樓,"1F站席 NT$3,600；2F指定席 NT$2,800；2F站席 NT$2,200；身障票公開資料另列 NT$1,800",購票入場,CENTRAL實行委員會／好玩專賣店（公開活動資料）,日本音樂祭台北場；演出：UVERworld、jo0ji、yama。,https://central-fest.com/s/central/page/taipei_2026,Ticket Plus 遠大售票系統（官方頁內購票入口）,https://central-fest.com/s/central/news/detail/10080?ima=0000&link=ROBO004,高（活動官方）,官方公告售票自2026/5/24 11:00開始。
